📺央视频道,#genre#
CCTV-14,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv14hd/1000/index.m3u8?msisdn=202604082000156333851fd05348afadeabed3369004c5&mdspid=&spid=699004&netType=0&sid=5500212875&pid=2028597139&timestamp=20260408200015&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=43.139.160.244&SecurityKey=20260408200015&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a88e131b52e23b52fe682100214b4bed&ddCalcu=dae8eb804e4b1043112b05021e22836be5f2
CCTV-14,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8
CCTV-14,https://zby.130519.xyz/PLTV/11/224/3221226150/index.m3u8
CCTV-15,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv15hd/50/index.m3u8?msisdn=202604082000155c672e9d82e448769a5bd815fb4e41df&mdspid=&spid=699004&netType=0&sid=5501083628&pid=2028597139&timestamp=20260408200015&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=43.139.160.244&SecurityKey=20260408200015&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=6f37df1c4f48ecdea5bf52566df13368&ddCalcu=866fe3303731d0ffd16c645f2458febc5dae
CCTV-15,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8
CCTV-16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8
CCTV-17,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv17hd/50/index.m3u8?msisdn=20260408200015ebc21d21def641db867ada12d999bf2d&mdspid=&spid=699004&netType=0&sid=5501083631&pid=2028597139&timestamp=20260408200015&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=43.139.160.244&SecurityKey=20260408200015&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=e5958bdddff871e78e5dc1a886b066b0&ddCalcu=0eb5e690653080bb6d8d8daf1fc8d751ee87
CETV-1,http://gslbmgsplive.miguvideo.com/migu/kailu/cetv1/50/20240709/index.m3u8?msisdn=202604082000220b472478020a4150a0b8f21e6d2d280b&mdspid=&spid=699004&netType=0&sid=5910022150&pid=2028597139&timestamp=20260408200022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=923287154&ParentNodeID=-99&assertID=5910022150&client_ip=43.139.160.244&SecurityKey=20260408200022&promotionId=&mvid=5900006636&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=722c2aa3ddb19077196b89660e512c2e&ddCalcu=e722ec202c31205aea036d6d9b81b9609717
CETV-1,https://zby.130519.xyz/PLTV/11/224/3221225775/index.m3u8
CETV-2,http://gslbmgsplive.miguvideo.com/migu/kailu/cetv2/50/20240709/index.m3u8?msisdn=20260408200022f4925f3e8a764c2a8497969c7ce17dd2&mdspid=&spid=699004&netType=0&sid=5910022152&pid=2028597139&timestamp=20260408200022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=923287211&ParentNodeID=-99&assertID=5910022152&client_ip=43.139.160.244&SecurityKey=20260408200022&promotionId=&mvid=5900006638&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=adba378ea60325dbc9511c7dfb831530&ddCalcu=0a3de5b01a333087b8feda76c01312559dcb
CETV-4,http://gslbmgsplive.miguvideo.com/migu/kailu/cetv4/50/20240709/index.m3u8?msisdn=202604082000228ef8e0a7992a4fd2bd74955757f2f658&mdspid=&spid=699004&netType=0&sid=5910022154&pid=2028597139&timestamp=20260408200022&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=923287339&ParentNodeID=-99&assertID=5910022154&client_ip=43.139.160.244&SecurityKey=20260408200022&promotionId=&mvid=5900006640&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=b881a2e569ae02bbcea7ab64daedf095&ddCalcu=5b98e080f13da0e2aed54669baae70a2ebcb
CETV-4,https://zby.130519.xyz/PLTV/11/224/3221226153/index.m3u8
CETV-4,https://zby.130519.xyz/PLTV/11/224/3221226069/index.m3u8

💰央视付费频道,#genre#
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20260408200016a6b59914572349d0ac7756b53a2ae3fb&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20260408200016&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=43.139.160.244&SecurityKey=20260408200016&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=ddaa9cd38584169c9f3bd260ae020024&ddCalcu=4d2de0a00a42900ceda3086528d4b136f99c
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/50/index.m3u8?msisdn=20260408200016d8226987c0c547bd9f9c83a3fbb93a8f&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20260408200016&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=43.139.160.244&SecurityKey=20260408200016&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=e2294dee106cdfd8ae1c575ed73c707f&ddCalcu=fe72e020798c403d7edee150765ccd1feda8

🕘️更新时间,#genre#
2026-04-08 21:28:18,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=20260408200013b4d146707e6a4ee0a082cb517bc43bc0&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260408200013&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=43.139.160.244&SecurityKey=20260408200013&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.3.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0050895fc7293645d86a8d4c8a1c21ff&ddCalcu=f0f0e150208c8019a58fcc47d289a36684d5
